,Model Number,Accuracy,Sample Count
0,1,0.9884499907493591,256
1,2,0.9876000285148621,256
2,3,0.9876499772071838,256
3,4,0.9880499839782715,256
4,1,0.9882000088691711,512
5,2,0.9875666499137878,512
6,3,0.9876333475112915,512
7,4,0.9877333045005798,512
8,1,0.987975001335144,768
9,2,0.987625002861023,768
10,3,0.9876000285148621,768
11,4,0.9875500202178955,768
12,1,0.9879000186920166,1024
13,2,0.987779974937439,1024
14,3,0.9876999855041504,1024
15,4,0.9875800013542175,1024
16,1,0.9878000020980835,1280
17,2,0.9879500269889832,1280
18,3,0.9878333210945129,1280
19,4,0.9876333475112915,1280
20,1,0.9877856969833374,1536
21,2,0.9880714416503906,1536
22,3,0.9879999756813049,1536
23,4,0.9877428412437439,1536
24,1,0.9877374768257141,1792
25,2,0.988212525844574,1792
26,3,0.9881749749183655,1792
27,4,0.9878125190734863,1792
28,1,0.987666666507721,2048
29,2,0.9883555769920349,2048
30,3,0.9883555769920349,2048
31,4,0.9879222512245178,2048
32,1,0.9875500202178955,2304
33,2,0.9884700179100037,2304
34,3,0.9884799718856812,2304
35,4,0.9880200028419495,2304
36,1,0.9873818159103394,2560
37,2,0.9885272979736328,2560
38,3,0.9885363578796387,2560
39,4,0.9880727529525757,2560
40,1,0.9870166778564453,2816
41,2,0.9885416626930237,2816
42,3,0.9885416626930237,2816
43,4,0.9880916476249695,2816
44,1,0.9864000082015991,3072
45,2,0.9885692596435547,3072
46,3,0.9885384440422058,3072
47,4,0.9880538582801819,3072
48,1,0.9853714108467102,3328
49,2,0.9885357022285461,3328
50,3,0.9885143041610718,3328
51,4,0.9879999756813049,3328
52,1,0.9833400249481201,3584
53,2,0.9884533286094666,3584
54,3,0.9884333610534668,3584
55,4,0.9879466891288757,3584
56,1,0.9781625270843506,3840
57,2,0.9881937503814697,3840
58,3,0.9882624745368958,3840
59,4,0.9877437353134155,3840
60,1,0.9686353206634521,4096
61,2,0.9868058562278748,4096
62,3,0.9870588183403015,4096
63,4,0.9871059060096741,4096
64,1,0.9304111003875732,4352
65,2,0.9764944314956665,4352
66,3,0.9779055714607239,4352
67,4,0.9804666638374329,4352
68,1,0.8868526220321655,4608
69,2,0.9405999779701233,4608
70,3,0.9383684396743774,4608
71,4,0.9610421061515808,4608
72,1,0.8476499915122986,4864
73,2,0.929764986038208,4864
74,3,0.9144200086593628,4864
75,4,0.9340050220489502,4864
76,1,0.8121809363365173,5120
77,2,0.9019761681556702,5120
78,3,0.887238085269928,5120
79,4,0.904538094997406,5120
80,1,0.7799363732337952,5376
81,2,0.8797500133514404,5376
82,3,0.8601818084716797,5376
83,4,0.8741681575775146,5376
84,1,0.7504956722259521,5632
85,2,0.849152147769928,5632
86,3,0.8270434737205505,5632
87,4,0.8440912961959839,5632
88,1,0.723508358001709,5888
89,2,0.8179791569709778,5888
90,3,0.7968666553497314,5888
91,4,0.8129791617393494,5888
92,1,0.6986799836158752,6144
93,2,0.7899399995803833,6144
94,3,0.7688239812850952,6144
95,4,0.7845720052719116,6144
96,1,0.6757615208625793,6400
97,2,0.7632423043251038,6400
98,3,0.7429384589195251,6400
99,4,0.7581653594970703,6400
100,1,0.6545407176017761,6656
101,2,0.7387370467185974,6656
102,3,0.7190592885017395,6656
103,4,0.7337222099304199,6656
104,1,0.6348357200622559,6912
105,2,0.7160249948501587,6912
106,3,0.6970499753952026,6912
107,4,0.7111892700195312,6912
108,1,0.6164896488189697,7168
109,2,0.6948137879371643,7168
110,3,0.6764931082725525,7168
111,4,0.6901448369026184,7168
112,1,0.5993666648864746,7424
113,2,0.6749200224876404,7424
114,3,0.6573833227157593,7424
115,4,0.6705800294876099,7424
116,1,0.5833483934402466,7680
117,2,0.6564645171165466,7680
118,3,0.6394935250282288,7680
119,4,0.6526097059249878,7680
120,1,0.568331241607666,7936
121,2,0.6390187740325928,7936
122,3,0.6249406337738037,7936
123,4,0.6352593898773193,7936
124,1,0.5542242527008057,8192
125,2,0.6223575472831726,8192
126,3,0.6091181635856628,8192
127,4,0.6191242337226868,8192
128,1,0.5409470796585083,8448
129,2,0.6070235371589661,8448
130,3,0.5941705703735352,8448
131,4,0.603885293006897,8448
132,1,0.5284285545349121,8704
133,2,0.5924857258796692,8704
134,3,0.5799999833106995,8704
135,4,0.589568555355072,8704
136,1,0.5166055560112,8960
137,2,0.5791805386543274,8960
138,3,0.5665944218635559,8960
139,4,0.5759139060974121,8960
140,1,0.5054216384887695,9216
141,2,0.56630539894104,9216
142,3,0.5540594458580017,9216
143,4,0.5631378293037415,9216
144,1,0.4948263168334961,9472
145,2,0.5541079044342041,9472
146,3,0.5421842336654663,9472
147,4,0.550881564617157,9472
148,1,0.4847743511199951,9728
149,2,0.5421871542930603,9728
150,3,0.5305692553520203,9728
151,4,0.5396666526794434,9728
152,1,0.4752250015735626,9984
153,2,0.531202495098114,9984
154,3,0.5197399854660034,9984
155,4,0.5287449955940247,9984
156,1,0.4661414623260498,10240
157,2,0.5206365585327148,10240
158,3,0.5094000101089478,10240
159,4,0.5182390213012695,10240
160,1,0.457490473985672,10496
161,2,0.510688066482544,10496
162,3,0.4997190535068512,10496
163,4,0.5083571672439575,10496
164,1,0.44924184679985046,10752
165,2,0.5011604428291321,10752
166,3,0.4903627932071686,10752
167,4,0.49880000948905945,10752
168,1,0.4413681924343109,11008
169,2,0.49206364154815674,11008
170,3,0.48156362771987915,11008
171,4,0.48975682258605957,11008
172,1,0.4338444471359253,11264
173,2,0.48341333866119385,11264
174,3,0.47299110889434814,11264
175,4,0.48100221157073975,11264
176,1,0.426647812128067,11520
177,2,0.47484347224235535,11520
178,3,0.4648260772228241,11520
179,4,0.4726760983467102,11520
180,1,0.4197574555873871,11776
181,2,0.4669276475906372,11776
182,3,0.45712339878082275,11776
183,4,0.46480637788772583,11776
184,1,0.41315415501594543,12032
185,2,0.459241658449173,12032
186,3,0.4496416747570038,12032
187,4,0.45716458559036255,12032
188,1,0.4068204164505005,12288
189,2,0.45193061232566833,12288
190,3,0.4425632655620575,12288
191,4,0.44994083046913147,12288
192,1,0.40073999762535095,12544
193,2,0.4449099898338318,12544
194,3,0.4356600046157837,12544
195,4,0.44321200251579285,12544
196,1,0.39489802718162537,12800
197,2,0.4379352927207947,12800
198,3,0.42899608612060547,12800
199,4,0.43639999628067017,12800
200,1,0.389280766248703,13056
201,2,0.43149039149284363,13056
202,3,0.42272308468818665,13056
203,4,0.4299499988555908,13056
204,1,0.38387545943260193,13312
205,2,0.4252547025680542,13312
206,3,0.41659998893737793,13312
207,4,0.4237433969974518,13312
208,1,0.3786703646183014,13568
209,2,0.41924813389778137,13568
210,3,0.4106888771057129,13568
211,4,0.41799813508987427,13568
212,1,0.3736545443534851,13824
213,2,0.41340726613998413,13824
214,3,0.40509817004203796,13824
215,4,0.41226726770401,13824
216,1,0.36881786584854126,14080
217,2,0.40786072611808777,14080
218,3,0.39969998598098755,14080
219,4,0.40674108266830444,14080
220,1,0.36415088176727295,14336
221,2,0.4024280607700348,14336
222,3,0.39441052079200745,14336
223,4,0.4013754427433014,14336
224,1,0.3596448302268982,14592
225,2,0.3972620666027069,14592
226,3,0.3893827497959137,14592
227,4,0.3962275981903076,14592
228,1,0.3552915155887604,14848
229,2,0.3922711908817291,14848
230,3,0.3845254182815552,14848
231,4,0.3912610113620758,14848
232,1,0.35108333826065063,15104
233,2,0.38741666078567505,15104
234,3,0.37973999977111816,15104
235,4,0.3864233195781708,15104
236,1,0.34701311588287354,15360
237,2,0.38292622566223145,15360
238,3,0.3750852346420288,15360
239,4,0.38178032636642456,15360
240,1,0.3430742025375366,15616
241,2,0.3784080743789673,15616
242,3,0.37069353461265564,15616
243,4,0.37728065252304077,15616
244,1,0.3392603099346161,15872
245,2,0.37400317192077637,15872
246,3,0.3663301467895508,15872
247,4,0.37289366126060486,15872
248,1,0.33556562662124634,16128
249,2,0.36976563930511475,16128
250,3,0.36221250891685486,16128
251,4,0.3686734437942505,16128
252,1,0.33198460936546326,16384
253,2,0.3654492199420929,16384
254,3,0.35814768075942993,16384
