,Model Number,Accuracy,Trigger,Sample Count
0,1,0.9790999889373779,False,2
1,2,0.9882500171661377,False,2
2,3,0.9908999800682068,False,2
3,4,0.9897500276565552,False,2
4,1,0.12200000137090683,True,2
5,2,0.10170000046491623,True,2
6,3,0.10140000283718109,True,2
7,4,0.10379999876022339,True,2
8,1,0.9124000072479248,False,4
9,2,0.9881333112716675,False,4
10,3,0.9908333420753479,False,4
11,4,0.9897333383560181,False,4
12,1,0.21594999730587006,True,4
13,2,0.10164999961853027,True,4
14,3,0.10130000114440918,True,4
15,4,0.10379999876022339,True,4
16,1,0.7440999746322632,False,6
17,2,0.9876999855041504,False,6
18,3,0.9907749891281128,False,6
19,4,0.9897000193595886,False,6
20,1,0.4291999936103821,True,6
21,2,0.10163333266973495,True,6
22,3,0.10119999945163727,True,6
23,4,0.10383333265781403,True,6
24,1,0.617139995098114,False,8
25,2,0.9871000051498413,False,8
26,3,0.9906799793243408,False,8
27,4,0.9895600080490112,False,8
28,1,0.5697749853134155,True,8
29,2,0.10159999877214432,True,8
30,3,0.10112500190734863,True,8
31,4,0.10387499630451202,True,8
32,1,0.5311166644096375,False,10
33,2,0.9863166809082031,False,10
34,3,0.9905999898910522,False,10
35,4,0.9894166588783264,False,10
36,1,0.6558200120925903,True,10
37,2,0.10162000358104706,True,10
38,3,0.10119999945163727,True,10
39,4,0.10388000309467316,True,10
40,1,0.46967142820358276,False,12
41,2,0.9820285439491272,False,12
42,3,0.9904142618179321,False,12
43,4,0.9892428517341614,False,12
44,1,0.7131833434104919,True,12
45,2,0.10173333436250687,True,12
46,3,0.10128333419561386,True,12
47,4,0.10393333435058594,True,12
48,1,0.42358750104904175,False,14
49,2,0.9694125056266785,False,14
50,3,0.9898874759674072,False,14
51,4,0.989062488079071,False,14
52,1,0.7541571259498596,True,14
53,2,0.10192856937646866,True,14
54,3,0.10135713964700699,True,14
55,4,0.10398571193218231,True,14
56,1,0.3877444565296173,False,16
57,2,0.9515888690948486,False,16
58,3,0.9886777997016907,False,16
59,4,0.9889888763427734,False,16
60,1,0.7848874926567078,True,16
61,2,0.10183750092983246,True,16
62,3,0.10145000368356705,True,16
63,4,0.1039625033736229,True,16
64,1,0.3590700030326843,False,18
65,2,0.9427700042724609,False,18
66,3,0.9866300225257874,False,18
67,4,0.9888200163841248,False,18
68,1,0.8087888956069946,True,18
69,2,0.10201111435890198,True,18
70,3,0.10156666487455368,True,18
71,4,0.10394444316625595,True,18
72,1,0.3356090784072876,False,20
73,2,0.9405272603034973,False,20
74,3,0.9836272597312927,False,20
75,4,0.9883999824523926,False,20
76,1,0.8279100060462952,True,20
77,2,0.10226999968290329,True,20
78,3,0.10170000046491623,True,20
79,4,0.10394000262022018,True,20
80,1,0.31605833768844604,False,22
81,2,0.9379500150680542,False,22
82,3,0.9797000288963318,False,22
83,4,0.9876833558082581,False,22
84,1,0.8435545563697815,True,22
85,2,0.10254545509815216,True,22
86,3,0.10183636099100113,True,22
87,4,0.10392726957798004,True,22
88,1,0.29951539635658264,False,24
89,2,0.9319000244140625,False,24
90,3,0.9748384356498718,False,24
91,4,0.9865999817848206,False,24
92,1,0.8565916419029236,True,24
93,2,0.10289999842643738,True,24
94,3,0.10194999724626541,True,24
95,4,0.10390833020210266,True,24
96,1,0.2853357195854187,False,26
97,2,0.9208214282989502,False,26
98,3,0.9715142846107483,False,26
99,4,0.9851499795913696,False,26
100,1,0.8676230907440186,True,26
101,2,0.10301538556814194,True,26
102,3,0.10204615443944931,True,26
103,4,0.10386154055595398,True,26
104,1,0.27304667234420776,False,28
105,2,0.905019998550415,False,28
106,3,0.969373345375061,False,28
107,4,0.9832466840744019,False,28
108,1,0.8770785927772522,True,28
109,2,0.10286428779363632,True,28
110,3,0.10209999978542328,True,28
111,4,0.10378571599721909,True,28
112,1,0.2622937560081482,False,30
113,2,0.8853187561035156,False,30
114,3,0.9678500294685364,False,30
115,4,0.9809874892234802,False,30
116,1,0.8852733373641968,True,30
117,2,0.10197333246469498,True,30
118,3,0.10214000195264816,True,30
119,4,0.10374666750431061,True,30
120,1,0.2528058886528015,False,32
121,2,0.8748823404312134,False,32
122,3,0.9668764472007751,False,32
123,4,0.9783999919891357,False,32
124,1,0.8924437761306763,True,32
125,2,0.10230624675750732,True,32
126,3,0.10215000063180923,True,32
127,4,0.10371249914169312,True,32
