,Model Number,Accuracy,Sample Count
0,1,0.9889000058174133,256
1,2,0.9892500042915344,256
2,3,0.990149974822998,256
3,4,0.9890999794006348,256
4,1,0.989300012588501,512
5,2,0.9896000027656555,512
6,3,0.9903333187103271,512
7,4,0.989300012588501,512
8,1,0.9896249771118164,768
9,2,0.9897500276565552,768
10,3,0.9904749989509583,768
11,4,0.989425003528595,768
12,1,0.9896600246429443,1024
13,2,0.989799976348877,1024
14,3,0.9905999898910522,1024
15,4,0.9894999861717224,1024
16,1,0.9894499778747559,1280
17,2,0.989799976348877,1280
18,3,0.9906666874885559,1280
19,4,0.9896500110626221,1280
20,1,0.9889714121818542,1536
21,2,0.9898999929428101,1536
22,3,0.9906286001205444,1536
23,4,0.9896714091300964,1536
24,1,0.9872499704360962,1792
25,2,0.9900000095367432,1792
26,3,0.9905750155448914,1792
27,4,0.9895874857902527,1792
28,1,0.9832000136375427,2048
29,2,0.990066647529602,2048
30,3,0.9905111193656921,2048
31,4,0.9895777702331543,2048
32,1,0.9602199792861938,2304
33,2,0.9901400208473206,2304
34,3,0.9904500246047974,2304
35,4,0.9895600080490112,2304
36,1,0.88393634557724,2560
37,2,0.9901727437973022,2560
38,3,0.9903545379638672,2560
39,4,0.9894909262657166,2560
40,1,0.8186916708946228,2816
41,2,0.990191638469696,2816
42,3,0.9902666807174683,2816
43,4,0.9893666505813599,2816
44,1,0.7634845972061157,3072
45,2,0.9901999831199646,3072
46,3,0.9901461601257324,3072
47,4,0.989246129989624,3072
48,1,0.7161642909049988,3328
49,2,0.9901999831199646,3328
50,3,0.9901000261306763,3328
51,4,0.9892643094062805,3328
52,1,0.6751533150672913,3584
53,2,0.9901933073997498,3584
54,3,0.9900733232498169,3584
55,4,0.9893400073051453,3584
56,1,0.6392687559127808,3840
57,2,0.9901999831199646,3840
58,3,0.9900500178337097,3840
59,4,0.9893875122070312,3840
60,1,0.6076058745384216,4096
61,2,0.9901823401451111,4096
62,3,0.990041196346283,4096
63,4,0.9893941283226013,4096
64,1,0.5794610977172852,4352
65,2,0.9901333451271057,4352
66,3,0.9900277853012085,4352
67,4,0.9893888831138611,4352
68,1,0.5542789697647095,4608
69,2,0.9900631308555603,4608
70,3,0.9900158047676086,4608
71,4,0.9893420934677124,4608
72,1,0.5316150188446045,4864
73,2,0.9899799823760986,4864
74,3,0.9899799823760986,4864
75,4,0.9892699718475342,4864
76,1,0.5111095309257507,5120
77,2,0.9899142980575562,5120
78,3,0.9899523854255676,5120
79,4,0.9891762137413025,5120
80,1,0.4924681782722473,5376
81,2,0.9898272752761841,5376
82,3,0.9899227023124695,5376
83,4,0.9891409277915955,5376
84,1,0.4754478335380554,5632
85,2,0.9897217154502869,5632
86,3,0.9898869395256042,5632
87,4,0.989152193069458,5632
88,1,0.4598458409309387,5888
89,2,0.9896374940872192,5888
90,3,0.9899125099182129,5888
91,4,0.9891666769981384,5888
92,1,0.4454919993877411,6144
93,2,0.9896079897880554,6144
94,3,0.9899479746818542,6144
95,4,0.9892119765281677,6144
96,1,0.4322423040866852,6400
97,2,0.9896461367607117,6400
98,3,0.9899846315383911,6400
99,4,0.9892269372940063,6400
100,1,0.41997408866882324,6656
101,2,0.9896518588066101,6656
102,3,0.9900110960006714,6656
103,4,0.9892444610595703,6656
104,1,0.4085821509361267,6912
105,2,0.989603579044342,6912
106,3,0.9900392889976501,6912
107,4,0.9892749786376953,6912
108,1,0.3979758620262146,7168
109,2,0.9895724058151245,7168
110,3,0.9900517463684082,7168
111,4,0.9892861843109131,7168
112,1,0.38807666301727295,7424
113,2,0.9895333051681519,7424
114,3,0.9900500178337097,7424
115,4,0.989300012588501,7424
116,1,0.3788161277770996,7680
117,2,0.9895225763320923,7680
118,3,0.9900612831115723,7680
119,4,0.9892967939376831,7680
120,1,0.3701343834400177,7936
121,2,0.9895437359809875,7936
122,3,0.9900906085968018,7936
123,4,0.9893312454223633,7936
124,1,0.36197879910469055,8192
125,2,0.9895333051681519,8192
126,3,0.9901151657104492,8192
127,4,0.9893666505813599,8192
128,1,0.35430294275283813,8448
129,2,0.9894323348999023,8448
