,Model Number,Accuracy,Trigger,Sample Count
0,1,0.9863499999046326,False,2
1,2,0.9761499762535095,False,2
2,3,0.9862499833106995,False,2
3,4,0.984250009059906,False,2
4,1,0.10859999805688858,True,2
5,2,0.12479999661445618,True,2
6,3,0.1054999977350235,True,2
7,4,0.1120000034570694,True,2
8,1,0.9415666460990906,False,4
9,2,0.8863999843597412,False,4
10,3,0.9635000228881836,False,4
11,4,0.9227666854858398,False,4
12,1,0.17440000176429749,True,4
13,2,0.24975000321865082,True,4
14,3,0.13860000669956207,True,4
15,4,0.19900000095367432,True,4
16,1,0.8507000207901001,False,6
17,2,0.7310749888420105,False,6
18,3,0.8932750225067139,False,6
19,4,0.8214499950408936,False,6
20,1,0.2842999994754791,True,6
21,2,0.4390333294868469,True,6
22,3,0.22446666657924652,True,6
23,4,0.3188999891281128,True,6
24,1,0.72461998462677,False,8
25,2,0.607420027256012,False,8
26,3,0.7747799754142761,False,8
27,4,0.6841400265693665,False,8
28,1,0.4323999881744385,True,8
29,2,0.5763000249862671,True,8
30,3,0.36627501249313354,True,8
31,4,0.47827500104904175,True,8
32,1,0.6278666853904724,False,10
33,2,0.5230500102043152,False,10
34,3,0.6678666472434998,False,10
35,4,0.5870833396911621,False,10
36,1,0.5385400056838989,True,10
37,2,0.6610000133514404,True,10
38,3,0.4865399897098541,True,10
39,4,0.5824800133705139,True,10
40,1,0.553428590297699,False,12
41,2,0.4627571403980255,False,12
42,3,0.587157130241394,False,12
43,4,0.5176428556442261,False,12
44,1,0.6148333549499512,True,12
45,2,0.7174999713897705,True,12
46,3,0.5718166828155518,True,12
47,4,0.6520666480064392,True,12
48,1,0.49687498807907104,False,14
49,2,0.41753751039505005,False,14
50,3,0.5264124870300293,False,14
51,4,0.46556249260902405,False,14
52,1,0.6698571443557739,True,14
53,2,0.7578571438789368,True,14
54,3,0.6329571604728699,True,14
55,4,0.7017714381217957,True,14
56,1,0.4528888761997223,False,16
57,2,0.3823666572570801,False,16
58,3,0.47914445400238037,False,16
59,4,0.4250555634498596,False,16
60,1,0.7111250162124634,True,16
61,2,0.7881249785423279,True,16
62,3,0.6788374781608582,True,16
63,4,0.7390499711036682,True,16
64,1,0.41769999265670776,False,18
65,2,0.35422998666763306,False,18
66,3,0.4413299858570099,False,18
67,4,0.3926500082015991,False,18
68,1,0.7432222366333008,True,18
69,2,0.8116666674613953,True,18
70,3,0.7145222425460815,True,18
71,4,0.7680444717407227,True,18
72,1,0.38890910148620605,False,20
73,2,0.33120909333229065,False,20
74,3,0.4103909134864807,False,20
75,4,0.366136372089386,False,20
76,1,0.7688999772071838,True,20
77,2,0.8305000066757202,True,20
78,3,0.7430700063705444,True,20
79,4,0.7912399768829346,True,20
80,1,0.3649166524410248,False,22
81,2,0.3120250105857849,False,22
82,3,0.38460832834243774,False,22
83,4,0.3440416753292084,False,22
84,1,0.7899090647697449,True,22
85,2,0.8459091186523438,True,22
86,3,0.7664272785186768,True,22
87,4,0.8102181553840637,True,22
88,1,0.3446153700351715,False,24
89,2,0.2957923114299774,False,24
90,3,0.36279231309890747,False,24
91,4,0.3253461420536041,False,24
92,1,0.8074166774749756,True,24
93,2,0.8587499856948853,True,24
94,3,0.7858916521072388,True,24
95,4,0.826033353805542,True,24
96,1,0.3272142708301544,False,26
97,2,0.2818785607814789,False,26
98,3,0.34409284591674805,False,26
99,4,0.30932143330574036,False,26
100,1,0.8222307562828064,True,26
101,2,0.869615375995636,True,26
102,3,0.8023615479469299,True,26
103,4,0.8394153714179993,True,26
104,1,0.3121333420276642,False,28
105,2,0.2698200047016144,False,28
106,3,0.3278866708278656,False,28
107,4,0.2954333424568176,False,28
108,1,0.834928572177887,True,28
109,2,0.878928542137146,True,28
110,3,0.8164785504341125,True,28
111,4,0.8508856892585754,True,28
112,1,0.29893749952316284,False,30
113,2,0.25926876068115234,False,30
114,3,0.31370624899864197,False,30
115,4,0.28328123688697815,False,30
116,1,0.8459333181381226,True,30
117,2,0.8870000243186951,True,30
118,3,0.8287133574485779,True,30
119,4,0.8608266711235046,True,30
120,1,0.2872941195964813,False,32
121,2,0.2499588280916214,False,32
122,3,0.30119413137435913,False,32
123,4,0.2725588381290436,False,32
124,1,0.8555625081062317,True,32
125,2,0.8940625190734863,True,32
126,3,0.8394187688827515,True,32
127,4,0.8695250153541565,True,32
