,Model Number,Accuracy,Sample Count
0,1,0.9853500127792358,256
1,2,0.9858999848365784,256
2,3,0.9876999855041504,256
3,4,0.9876000285148621,256
4,1,0.9824000000953674,512
5,2,0.9824000000953674,512
6,3,0.9857666492462158,512
7,4,0.9865000247955322,512
8,1,0.9648749828338623,768
9,2,0.9732750058174133,768
10,3,0.9778500199317932,768
11,4,0.984000027179718,768
12,1,0.9009199738502502,1024
13,2,0.8303599953651428,1024
14,3,0.9131199717521667,1024
15,4,0.9673399925231934,1024
16,1,0.7679666876792908,1280
17,2,0.7088000178337097,1280
18,3,0.7777666449546814,1280
19,4,0.9121333360671997,1280
20,1,0.6729999780654907,1536
21,2,0.6219714283943176,1536
22,3,0.6810857057571411,1536
23,4,0.8106428384780884,1536
24,1,0.6017749905586243,1792
25,2,0.556850016117096,1792
26,3,0.6085749864578247,1792
27,4,0.7215874791145325,1792
28,1,0.5463777780532837,2048
29,2,0.5062000155448914,2048
30,3,0.5521777868270874,2048
31,4,0.6523222327232361,2048
32,1,0.5020599961280823,2304
33,2,0.46568000316619873,2304
34,3,0.5070599913597107,2304
35,4,0.5969099998474121,2304
36,1,0.4657999873161316,2560
37,2,0.4325272738933563,2560
38,3,0.47014546394348145,2560
39,4,0.5515727400779724,2560
40,1,0.43558332324028015,2816
41,2,0.4049000144004822,2816
42,3,0.439383327960968,2816
43,4,0.5137916803359985,2816
44,1,0.41001537442207336,3072
45,2,0.381523072719574,3072
46,3,0.4133538603782654,3072
47,4,0.4818230867385864,3072
48,1,0.3880999982357025,3328
49,2,0.36148571968078613,3328
50,3,0.3910428583621979,3328
51,4,0.45442143082618713,3328
52,1,0.3691066801548004,3584
53,2,0.34411999583244324,3584
54,3,0.37170666456222534,3584
55,4,0.4306733310222626,3584
56,1,0.3524875044822693,3840
57,2,0.3289250135421753,3840
58,3,0.3547874987125397,3840
59,4,0.4098937511444092,3840
60,1,0.3378235399723053,4096
61,2,0.3155176341533661,4096
62,3,0.3398588299751282,4096
63,4,0.39155882596969604,4096
64,1,0.324788898229599,4352
65,2,0.303600013256073,4352
66,3,0.326588898897171,4352
67,4,0.3752610981464386,4352
68,1,0.3131263256072998,4608
69,2,0.2929368317127228,4608
70,3,0.31471580266952515,4608
71,4,0.36067894101142883,4608
72,1,0.3026300072669983,4864
73,2,0.2833400070667267,4864
74,3,0.30403000116348267,4864
75,4,0.347555011510849,4864
76,1,0.29313334822654724,5120
77,2,0.27465713024139404,5120
78,3,0.2943619191646576,5120
79,4,0.3356809616088867,5120
80,1,0.28450000286102295,5376
81,2,0.2667636275291443,5376
82,3,0.28557273745536804,5376
83,4,0.32488635182380676,5376
84,1,0.2766173779964447,5632
85,2,0.25955653190612793,5632
86,3,0.27754783630371094,5632
87,4,0.31503042578697205,5632
88,1,0.26939165592193604,5888
89,2,0.2529500126838684,5888
90,3,0.27019166946411133,5888
91,4,0.3059958219528198,5888
92,1,0.2627440094947815,6144
93,2,0.24687199294567108,6144
94,3,0.26342400908470154,6144
95,4,0.2976840138435364,6144
96,1,0.25660768151283264,6400
97,2,0.2412615418434143,6400
98,3,0.25717693567276,6400
99,4,0.29001152515411377,6400
100,1,0.2509259283542633,6656
101,2,0.23606666922569275,6656
102,3,0.2513926029205322,6656
103,4,0.2829073965549469,6656
104,1,0.24564999341964722,6912
105,2,0.2312428504228592,6912
106,3,0.24602143466472626,6912
107,4,0.2763107120990753,6912
108,1,0.2407379299402237,7168
109,2,0.22675172984600067,7168
110,3,0.24102069437503815,7168
111,4,0.2701689600944519,7168
112,1,0.23615333437919617,7424
113,2,0.22256000339984894,7424
114,3,0.23635333776474,7424
115,4,0.26443666219711304,7424
116,1,0.23186451196670532,7680
117,2,0.21863870322704315,7680
118,3,0.2319871038198471,7680
119,4,0.2590741813182831,7680
120,1,0.2278437465429306,7936
121,2,0.21496249735355377,7936
122,3,0.22789375483989716,7936
123,4,0.25404688715934753,7936
124,1,0.22406665980815887,8192
125,2,0.2115090936422348,8192
126,3,0.22404848039150238,8192
127,4,0.2493242472410202,8192
128,1,0.2205117642879486,8448
129,2,0.20825882256031036,8448
130,3,0.2204294055700302,8448
131,4,0.24487940967082977,8448
132,1,0.21716000139713287,8704
133,2,0.20519427955150604,8704
134,3,0.21701714396476746,8704
135,4,0.24068857729434967,8704
136,1,0.21399444341659546,8960
137,2,0.20229999721050262,8960
138,3,0.21379444003105164,8960
139,4,0.23673056066036224,8960
140,1,0.210999995470047,9216
141,2,0.1995621621608734,9216
142,3,0.2107459455728531,9216
143,4,0.2329864799976349,9216
144,1,0.20816315710544586,9472
145,2,0.1969684213399887,9472
146,3,0.2078578919172287,9472
147,4,0.22943946719169617,9472
148,1,0.20547179877758026,9728
149,2,0.1945076882839203,9728
150,3,0.20511795580387115,9728
151,4,0.22607435286045074,9728
152,1,0.2029149979352951,9984
153,2,0.19216999411582947,9984
154,3,0.20251500606536865,9984
155,4,0.22287750244140625,9984
156,1,0.20048291981220245,10240
157,2,0.18994633853435516,10240
158,3,0.20003902912139893,10240
159,4,0.21983659267425537,10240
160,1,0.19816666841506958,10496
161,2,0.18782857060432434,10496
162,3,0.19768095016479492,10496
163,4,0.2169404774904251,10496
164,1,0.19595813751220703,10752
165,2,0.18580929934978485,10752
166,3,0.19543255865573883,10752
167,4,0.21417906880378723,10752
168,1,0.19384999573230743,11008
169,2,0.18388181924819946,11008
170,3,0.19328635931015015,11008
171,4,0.21154318749904633,11008
172,1,0.19183555245399475,11264
173,2,0.1820400059223175,11264
174,3,0.19123555719852448,11264
175,4,0.20902444422245026,11264
176,1,0.1899086982011795,11520
177,2,0.1802782565355301,11520
178,3,0.1892739087343216,11520
179,4,0.20661522448062897,11520
180,1,0.1880638301372528,11776
181,2,0.17859148979187012,11776
182,3,0.18739575147628784,11776
183,4,0.20430850982666016,11776
184,1,0.18629583716392517,12032
185,2,0.17697499692440033,12032
186,3,0.18559584021568298,12032
187,4,0.20209792256355286,12032
188,1,0.18459999561309814,12288
189,2,0.1754244863986969,12288
190,3,0.1838693916797638,12288
191,4,0.1999775469303131,12288
192,1,0.1829719990491867,12544
193,2,0.17393599450588226,12544
194,3,0.1822119951248169,12544
195,4,0.19794200360774994,12544
196,1,0.1814078390598297,12800
197,2,0.17250588536262512,12800
198,3,0.18061961233615875,12800
199,4,0.19598627090454102,12800
200,1,0.17990384995937347,13056
201,2,0.17113077640533447,13056
202,3,0.17908845841884613,13056
203,4,0.19410577416419983,13056
204,1,0.1784566044807434,13312
205,2,0.1698075532913208,13312
206,3,0.17761509120464325,13312
207,4,0.19229622185230255,13312
208,1,0.1770629584789276,13568
209,2,0.1685333400964737,13568
210,3,0.17619629204273224,13568
211,4,0.1905537098646164,13568
212,1,0.1757200062274933,13824
213,2,0.16730545461177826,13824
214,3,0.17482909560203552,13824
215,4,0.18887454271316528,13824
216,1,0.17442500591278076,14080
217,2,0.16612142324447632,14080
218,3,0.17351071536540985,14080
219,4,0.1872553527355194,14080
220,1,0.17317543923854828,14336
221,2,0.16497895121574402,14336
222,3,0.17223860323429108,14336
223,4,0.18569298088550568,14336
224,1,0.1719689667224884,14592
225,2,0.16387586295604706,14592
226,3,0.1710103452205658,14592
227,4,0.1841844767332077,14592
228,1,0.17080338299274445,14848
229,2,0.16281017661094666,14848
230,3,0.16982373595237732,14848
231,4,0.18272711336612701,14848
232,1,0.16967666149139404,15104
233,2,0.1617799997329712,15104
234,3,0.16867665946483612,15104
235,4,0.18131832778453827,15104
236,1,0.1685868799686432,15360
237,2,0.16078360378742218,15360
238,3,0.1675672084093094,15360
239,4,0.17995573580265045,15360
240,1,0.16753226518630981,15616
241,2,0.1598193496465683,15616
